url,caption,time,n_frames_requested,n_frames_used
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=464&GameID=0022400366&Season=2024-25&flag=1&title=Jackson%20Jr.%2011%27%20Driving%20Floating%20Jump%20Shot%20(13%20PTS)%20(Pippen%20Jr.%205%20AST),"""A player with jersey number 23 and jersey color black performed a 2PT Shot that was made and was assisted by player with jersey number 30.""",11.671749830245972,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=187&GameID=0022400871&Season=2024-25&flag=1&title=Sochan%205%27%20Cutting%20Layup%20Shot%20(7%20PTS)%20(Champagnie%201%20AST),"""A player with jersey number 55 and jersey color blue performed a 3PT Shot that was made and was assisted by player with jersey number 8.""",11.574811220169067,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=550&GameID=0022400375&Season=2024-25&flag=1&title=Herro%203%27%20Reverse%20Layup%20(22%20PTS)%20(Smith%203%20AST),"""A player with jersey number 14 and jersey color black performed a 2PT Shot that was made and was assisted by player with jersey number 1.""",11.604671955108643,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=52&GameID=0022400874&Season=2024-25&flag=1&title=Harden%203%27%20Driving%20Finger%20Roll%20Layup%20(2%20PTS)%20(Powell%201%20AST),"""A player with jersey number 11 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 7.""",11.6643807888031,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=92&GameID=0022400867&Season=2024-25&flag=1&title=Sharpe%2010%27%20Driving%20Floating%20Jump%20Shot%20(7%20PTS),"""A player with jersey number 2 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 33.""",11.604252099990845,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=155&GameID=0022401216&Season=2024-25&flag=1&title=Green%201%27%20Cutting%20Dunk%20Shot%20(4%20PTS)%20(Theis%201%20AST),"""A player with jersey number 25 and jersey color purple performed a 2PT Shot that was made and was assisted by player with jersey number 23.""",11.717865943908691,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=170&GameID=0022400374&Season=2024-25&flag=1&title=Antetokounmpo%201%27%20Driving%20Layup%20(7%20PTS),"""A player with jersey number 1 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 20.""",11.6246919631958,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=93&GameID=0022400864&Season=2024-25&flag=1&title=Curry%201%27%20Cutting%20Layup%20Shot%20(6%20PTS)%20(Green%202%20AST),"""A player with jersey number 30 and jersey color blue performed a 2PT Shot that was made and was assisted by player with jersey number 21.""",11.638392925262451,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=38&GameID=0022401224&Season=2024-25&flag=1&title=Mitchell%2015%27%20Turnaround%20Jump%20Shot%20(2%20PTS),"""A player with jersey number 10 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 28.""",11.627863883972168,3,3
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=56&GameID=0022400865&Season=2024-25&flag=1&title=Irving%202%27%20Driving%20Finger%20Roll%20Layup%20(2%20PTS),"""A player with jersey number 25 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 23.""",11.609971284866333,3,3
